treat,par_gender,pic_gender,yvar,SE,df,LCL,UCL,tvar,xvar
Satiation,Women Participants,Female Pictures,4.752631578947313,0.14219926376086683,884,4.473544028289297,5.03171912960533,1,Satiation
Satiation,Men Participants,Female Pictures,4.04687499999996,0.122505099011946,884,3.8064402247267366,4.287309775273183,1,Satiation
Satiation,Women Participants,Male Pictures,4.210526315789424,0.1421992637608683,884,3.931438765131404,4.489613866447443,1,Satiation
Satiation,Men Participants,Male Pictures,4.385826771653503,0.12298645685451295,884,4.1444472588498655,4.62720628445714,1,Satiation
Hunger,Women Participants,Female Pictures,4.4336734693877125,0.1400058274422243,884,4.1588908690754565,4.708456069699968,1,Hunger
Hunger,Men Participants,Female Pictures,4.939999999999962,0.12396644411590224,884,4.696697114056243,5.183302885943681,1,Hunger
Hunger,Women Participants,Male Pictures,3.91752577319583,0.14072565649264115,884,3.6413303995592963,4.193721146832364,1,Hunger
Hunger,Men Participants,Male Pictures,4.2007874015747655,0.12298645685451245,884,3.9594078887711297,4.442166914378401,1,Hunger
