treat,par_gender,pic_gender,yvar,SE,df,LCL,UCL,tvar,xvar
Satiation,Women Participants,Female Pictures,4.740625000000854,0.19961411383937983,137.39317036905763,4.345911885381163,5.135338114620545,1,Satiation
Satiation,Men Participants,Female Pictures,4.016406250000066,0.19961411383936353,137.39317036893777,3.6216931353804047,4.4111193646197275,1,Satiation
Satiation,Women Participants,Male Pictures,4.87656250000084,0.19961411383937924,137.39317036901284,4.481849385381149,5.271275614620531,1,Satiation
Satiation,Men Participants,Male Pictures,4.795312500000057,0.19961411383936373,137.39317036895093,4.400599385380396,5.190025614619719,1,Satiation
Hunger,Women Participants,Female Pictures,4.520161290322604,0.202808142469037,137.3931703689404,4.119132364839903,4.921190215805305,1,Hunger
Hunger,Men Participants,Female Pictures,5.311290322580624,0.2028081424690367,137.3931703690023,4.9102613970979245,5.712319248063324,1,Hunger
Hunger,Women Participants,Male Pictures,4.462096774193566,0.2028081424690372,137.39317036895227,4.061067848710865,4.863125699676267,1,Hunger
Hunger,Men Participants,Male Pictures,4.619354838709651,0.20280814246903692,137.39317036900098,4.218325913226951,5.02038376419235,1,Hunger
