treat,par_gender,pic_gender,pic_cue,yvar,SE,df,LCL,UCL,tvar,xvar
Satiation,Women Participants,Female Pictures,Sexual Cue-Absent,4.598290598286737,0.24790291373680395,651.9999999996397,4.1115061843960765,5.0850750121773975,1,Satiation
Satiation,Men Participants,Female Pictures,Sexual Cue-Absent,3.9761904761913125,0.23888522502754359,652.0000000000126,3.5071132777860106,4.445267674596614,1,Satiation
Satiation,Women Participants,Male Pictures,Sexual Cue-Absent,5.623931623932814,0.2479029137369398,652.0000000000438,5.137147210041887,6.110716037823741,1,Satiation
Satiation,Men Participants,Male Pictures,Sexual Cue-Absent,5.968253968253937,0.23888522502751736,652.0000000000126,5.499176769848686,6.437331166659188,1,Satiation
Satiation,Women Participants,Female Pictures,Sexual Cue-Present,5.360360360361556,0.2545148182874114,652.0000000000438,4.860592750618726,5.860127970104386,1,Satiation
Satiation,Men Participants,Female Pictures,Sexual Cue-Present,4.224806201550352,0.23609114966868017,652.0000000000126,3.761215474907034,4.6883969281936695,1,Satiation
Satiation,Women Participants,Male Pictures,Sexual Cue-Present,3.342105263157837,0.2511436122457891,652.0000000000126,2.848957384229539,3.835253142086135,1,Satiation
Satiation,Men Participants,Male Pictures,Sexual Cue-Present,4.926829268292647,0.24178090923702578,652.0000000000126,4.452066078063055,5.40159245852224,1,Satiation
Hunger,Women Participants,Female Pictures,Sexual Cue-Absent,4.293650793651717,0.2388852250275442,652.0000000000438,3.824573595246414,4.7627279920570205,1,Hunger
Hunger,Men Participants,Female Pictures,Sexual Cue-Absent,4.909090909090893,0.23339287648487012,652.0000000000126,4.450798536188155,5.367383281993631,1,Hunger
Hunger,Women Participants,Male Pictures,Sexual Cue-Absent,5.412698412698352,0.23888522502751763,652.0000000000126,4.943621214293101,5.881775611103603,1,Hunger
Hunger,Men Participants,Male Pictures,Sexual Cue-Absent,5.933333333333291,0.23078505299813332,652.0000000000126,5.480161706324122,6.38650496034246,1,Hunger
Hunger,Women Participants,Female Pictures,Sexual Cue-Present,5.1590909090908665,0.23339287648487042,652.0000000000126,4.7007985361881275,5.617383281993606,1,Hunger
Hunger,Men Participants,Female Pictures,Sexual Cue-Present,5.085271317829421,0.23609114966867978,652.0000000000126,4.621680591186104,5.548862044472738,1,Hunger
Hunger,Women Participants,Male Pictures,Sexual Cue-Present,4.279069767441834,0.23609114966868058,652.0000000000126,3.815479040798516,4.742660494085152,1,Hunger
Hunger,Men Participants,Male Pictures,Sexual Cue-Present,4.666666666666652,0.23339287648487134,652.0000000000126,4.208374293763911,5.124959039569393,1,Hunger
